title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,picture_url,recipe_urls
Chapli kebabs,Easy,Serves 6,Visit us on Instagram,0 reviews,False,False,True,False,False,Prep:35 mins,,"['1 tbsp  coriander seeds', '1 tbsp  cumin seeds', '500g beef or lamb mince ', 'ground black pepper', '1 tsp  chilli flakes', '2 chillies, finely chopped', '1 tbsp  ginger paste ', 'garlic paste', '1 medium  onion, finely chopped', '5 spring onions, finely chopped', 'breadcrumbs ', '1 large  tomato, chopped into small pieces ', '5g mint, finely chopped ', 'coriander', ', for shaping and deep-frying ', ', to serve (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/ChapliKebabs-16b1490.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/chapli-kebabs-2
Black bean sauce,Easy,Makes 280g,Visit us on Youtube,0 reviews,False,False,False,False,False,Prep:15 mins,,"['2 tbsp  vegetable, sunflower or rapeseed oil', '1 tbsp  finely chopped or minced ginger', '2 large  garlic cloves, minced or finely grated', 'dried fermented black beans ', 'Shaoxing wine', '2 tbsp  light soy sauce', '¼ tsp  sugar', 'sesame oil', 'white ground pepper', 'cornflour ']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/BlackBeanSauce-2051145.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/black-bean-sauce
Korean bibimbap,Easy,Serves 1,Visit us on Pinterest,5 ratings,True,False,True,False,False,Prep:20 mins,,"['1 chestnut mushroom, finely sliced', '½ courgette, halved and finely sliced', '¼ carrot, cut into think matchsticks', '40g beansprouts', '30g spinach', 'sesame oil', 'sesame seeds', 'vegetable oil', '1 egg', 'cooked sushi rice ', '2 tbsp  gochujang (Korean red pepper paste)', 'sesame seeds', '1 tsp  caster sugar', 'sesame oil']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/BibimbapKoreanMixedRice-6a656fe.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/korean-bibimbap
Chocolate chip muffins,Easy,Serves 12,Visit us on Facebook,84 ratings,True,False,False,False,False,Prep:15 mins,,"['250g self-raising flour', '1 tsp bicarbonate of soda', '150g chocolate chips, milk, white, dark or a mix of all three', '100g golden caster sugar', '2 eggs, lightly beaten', '150ml natural yogurt', '100g unsalted butter, melted']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chocolate-chip-muffins-ccc8450.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/chocolate-chip-muffins
Venison pie,Easy,Serves 8,Visit us on Instagram,0 reviews,False,False,False,False,False,Prep:30 mins,,"['vegetable oil', 'streaky bacon rashers', '4 tbsp plain flour, plus extra for dusting', '1 tsp mustard powder', 'venison shoulder', '50g unsalted butter', '1 celery stick, chopped', '1 carrot, chopped', '1 red onion, roughly chopped', '2 garlic cloves, roughly chopped', 'tomato purée', '10g dried porcini mushrooms, rehydrated in 150ml warm water', 'red wine', 'beef stock', 'fresh bay leaves', '1 large thyme sprig', 'puff pastry sheets', '1 egg, beaten', '50g mature cheddar, grated', ' and braised cavolo nero, to serve (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Venison-pie-7c4b7c0.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/venison-pie
Swedish meatball pie,Easy,Serves 6 - 8,Visit us on Facebook,2 ratings,False,False,False,False,False,Prep:30 mins,,"['breadcrumbs', '4 tbsp milk', '400g 12%-fat beef mince', '400g 5%-fat pork mince', 'ground allspice', '1 tbsp plain flour', 'vegetable oil', '35g butter', '35g plain flour', 'beef stock', '75ml single cream', 'splash of Worcestershire sauce', 'Maris Piper or King Edward potatoes', '4 tbsp milk', '65g butter', 'dill', 'lingonberry jam']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Swedish-meatball-pie-1110a40.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/swedish-meatball-pie
One-pan smoked haddock & spinach filo pie,Easy,Serves 4,Visit us on Facebook,3 ratings,False,False,False,False,False,Prep:15 mins,,"['500g spinach', '50g butter, melted, plus extra for the dish', '500g smoked haddock (about 2 fillets), skin removed, cut into large chunks', '200ml double cream or crème fraîche', '½ lemon, juiced', '25g parmesan, finely grated', '2 spring onions, finely sliced', 'small grating of  nutmeg', 'filo pastry']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/One-pan-smoked-haddock-and-spinach-filo-pie-cbcd1ff.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/one-pan-smoked-haddock-spinach-filo-pie
Ginger & lime pickle dhal,Easy,Serves 4,Visit us on Facebook,2 ratings,False,False,False,False,False,Prep:5 mins,,"['vegetable oil', '1 onion, finely chopped', '3 garlic cloves, finely chopped', '1 tsp cumin seeds', 'ground coriander', '¼ tsp turmeric', '2 x 400g cans green lentils, drained and rinsed', 'reduced salt vegetable stock', 'lime pickle', 'coriander', ', to serve (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Ginger-and-lime-pickle-dhal-3b9d99b.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/ginger-lime-pickle-dhal
Pork schnitzel with lemon caper butter,Easy,Serves 4,Visit us on Instagram,0 reviews,False,False,False,False,False,Prep:20 mins,,"['300g pork loin steaks (roughly 6)', '1 tbsp Dijon mustard', '30g plain flour', '2 eggs, beaten', '100g panko breadcrumbs', 'vegetable oil', '100g unsalted butter, softened', '1 lemon, zested', '1 tbsp capers, roughly chopped', '2 garlic cloves, chopped', '10g parsley, roughly chopped', 'cooked new potatoes and mixed salad, to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Pork-schnitzel-with-lemon-caper-butter-58cb7a6.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/pork-schnitzel-with-lemon-caper-butter
Cajun sausage stew,Easy,Serves 4,Visit us on Facebook,3 ratings,False,False,False,False,False,Prep:10 mins,,"['vegetable oil ', 'pork sausages', '1 onion, roughly chopped', '1 carrot, roughly chopped', '1 celery stick, roughly chopped', '1 red pepper, roughly chopped', '3  garlic cloves, roughly chopped', '2 thyme sprigs, plus a few to garnish (optional)', 'Cajun spice mix', '1 tsp sweet smoked paprika', '400g can chopped tomatoes', 'beef stock', '400g can kidney beans in chilli sauce ', ' or crusty bread, to serve (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Cajun-sausage-stew-9867ad3.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/cajun-sausage-stew
Chicken alfredo pasta bake,Easy,Serves 6,Visit us on Facebook,4 ratings,False,False,False,False,False,Prep:15 mins,,"['vegetable oil', '65g pancetta ', '2 chicken breasts, cut into small chunks', '1 onion, finely chopped', '3 garlic cloves, finely chopped', '500g conchiglie pasta', '40g plain flour', '220ml double cream', '470ml whole milk', '1 tbsp Dijon mustard', '100g cheddar, grated', '200g spinach', '65g parmesan, grated ']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/Chicken-alfredo-pasta-bake-c357c57.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/chicken-alfredo-pasta-bake
