title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,picture_url,methods,recipe_urls
Maple thyme carrots,Easy,Serves 4,Visit us on Instagram,0 reviews,True,False,False,False,True,Prep:10 mins,,"['750g carrots (no need to peel), scrubbed, trimmed and halved lengthways if thick ', '2 tbsp sunflower oil', '2 tbsp maple syrup', '1 tbsp thyme leaves', 'sherry vinegar ']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/Maple-thyme-carrots-005cda6.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/maple-thyme-carrots
Christmas crumble,Easy,Serves 4 - 6,Visit us on Facebook,11 ratings,True,False,False,False,False,Prep:25 mins,,"['1kg apples, peeled, cored and chopped', '150g frozen cranberries', '1 tsp ground cinnamon', 'mixed spice', '75g caster sugar', '125g plain flour', '100g cold unsalted butter, cut into cubes', '50g caster sugar', 'mixed spice']","https://images.immediate.co.uk/production/volatile/sites/30/2022/11/Christmas-crumble-c1eff7e.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/christmas-crumble
Mince pie brownies,Easy,Makes 16,Visit us on Facebook,28 ratings,True,False,False,False,False,Prep:35 mins,,"['185g unsalted butter, cubed', '185g high-quality dark chocolate, chopped', '85g plain flour', 'cocoa powder', '3 large eggs', '275g golden caster sugar', 'mince pies', 'icing sugar, for dusting']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mince-pie-brownie-ba4664e.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/mince-pie-brownies
Buttered brussels sprouts,Easy,Serves 4,Visit us on Instagram,0 reviews,True,False,False,False,True,Prep:10 mins,,"['750g brussels sprouts, trimmed and halved ', 'vegetable oil', '2 tbsp  butter ', '½ lemon, zested ']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/Buttered-brussels-sprouts-6a087ed.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/buttered-brussels-sprouts
Creamy potato gratin,Easy,Serves 4,Visit us on Instagram,0 reviews,True,False,False,False,True,Prep:15 mins,,"['1 garlic clove, halved', '1 tbsp butter, softened', '500-600g Maris Piper potatoes, peeled and thinly sliced', '2 tsp thyme leaves', '200ml double cream', '100ml milk', '50g gruyère (or vegetarian alternative), grated']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/Creamy-potato-gratin-cb5fd6d.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/creamy-potato-gratin
Baked ham hock pots,Serves 4,,Visit us on Facebook,9 ratings,False,False,False,False,False,Prep:10 mins,,"['250ml double cream', '1 egg, beaten', ' finely chopped', 'generous grating of nutmeg', 'cooked ham hock,', 'canned potatoes,', '60g mature cheddar, grated', ' to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2022/10/Baked-ham-hock-pots-9d6c230.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/baked-ham-hock-pots
Smoked mackerel on toasted crumpets,Easy,Serves 4,Visit us on Facebook,2 ratings,False,False,False,False,False,Prep:15 mins,,"['2 ready-to-eat smoked mackerel fillets', '90g crème fraîche', '½ lemon, juiced', 'dill sprigs', '2 parsley sprigs, finely chopped', '1 Granny Smith apple, cored and cut into matchsticks (optional)', 'crumpets', 'butter, for spreading', 'cucumber', '1-2 radishes, sliced', 'finely chopped chives']","https://images.immediate.co.uk/production/volatile/sites/30/2023/12/Smoked-mackerel-on-toasted-crumpets-8728926.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/smoked-mackerel-on-toasted-crumpets
"Fig, burrata & prosciutto tartine",Serves 4,,Visit us on Pinterest,14 ratings,False,False,False,False,False,Prep:5 mins,,"['4 slices of sourdough', 'olive oil, for drizzling', 'fig chutney', 'burrata,', '8 slices of prosciutto or parma ham', '4-6 ripe figs, roughly torn or halved', 'handful of thyme or oregano, leaves picked', 'balsamic vinegar, to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2021/08/Fig-burrata-prosciutto-tartine-99ba997.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/fig-burrata-prosciutto-tartine
Korean bibimbap,Easy,Serves 1,Visit us on Pinterest,5 ratings,True,False,True,False,False,Prep:20 mins,,"['1 chestnut mushroom, finely sliced', '½ courgette, halved and finely sliced', '¼ carrot, cut into think matchsticks', '40g beansprouts', '30g spinach', 'sesame oil', 'sesame seeds', 'vegetable oil', '1 egg', 'cooked sushi rice ', '2 tbsp  gochujang (Korean red pepper paste)', 'sesame seeds', '1 tsp  caster sugar', 'sesame oil']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/BibimbapKoreanMixedRice-6a656fe.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/korean-bibimbap
Black bean sauce,Easy,Makes 280g,Visit us on Youtube,0 reviews,False,False,False,False,False,Prep:15 mins,,"['2 tbsp  vegetable, sunflower or rapeseed oil', '1 tbsp  finely chopped or minced ginger', '2 large  garlic cloves, minced or finely grated', 'dried fermented black beans ', 'Shaoxing wine', '2 tbsp  light soy sauce', '¼ tsp  sugar', 'sesame oil', 'white ground pepper', 'cornflour ']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/BlackBeanSauce-2051145.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/black-bean-sauce
Chapli kebabs,Easy,Serves 6,Visit us on Instagram,0 reviews,False,False,True,False,False,Prep:35 mins,,"['1 tbsp  coriander seeds', '1 tbsp  cumin seeds', '500g beef or lamb mince ', 'ground black pepper', '1 tsp  chilli flakes', '2 chillies, finely chopped', '1 tbsp  ginger paste ', 'garlic paste', '1 medium  onion, finely chopped', '5 spring onions, finely chopped', 'breadcrumbs ', '1 large  tomato, chopped into small pieces ', '5g mint, finely chopped ', 'coriander', ', for shaping and deep-frying ', ', to serve (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/ChapliKebabs-16b1490.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/chapli-kebabs-2
Dum aloo,Easy,Serves 4,Visit us on Instagram,0 reviews,True,False,False,False,True,Prep:25 mins,,"['500g baby potatoes, peeled', '2 tbsp  vegetable or sunflower oil', '1 onion, finely chopped', 'cardamom pods', 'bay leaves', '2 cinnamon sticks', '½ tsp  cumin seeds', 'kalonji seeds', '1 medium  tomato, chopped', 'ginger and garlic paste', '1 tsp  fenugreek ', '1 tsp  chilli powder', '½ tsp  turmeric', 'ground coriander', '1 tsp  cumin', '1 tbsp  gram flour (chickpea flour)', 'Greek yogurt', ', to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/DumAloo-46e8044.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/dum-aloo
Gobi manchurian,Easy,Serves 4,Visit us on Facebook,1 rating,True,True,True,False,False,Prep:25 mins,,"['1 cauliflower, cut into florets', 'neutral oil such as sunflower or vegetable', '2 garlic cloves, chopped', '1 green chilli, chopped', '1 red onion, diced ', '2 spring onions, finely sliced, plus extra to serve', '½ red pepper, diced ', '½ green pepper, diced', 'ketchup', 'chilli sauce', '2 tbsp  soy sauce', 'rice vinegar', '1 tbsp  chilli flakes', 'ground black pepper', '100g plain flour ', 'cornflour', '1 tsp  chilli powder', '1 tsp  Kashmiri chilli powder']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/GobiManchurian-ad8498d.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/gobi-manchurian
Hwachae (Korean watermelon punch),Easy,Serves 4 / makes 2 litres,Visit us on Facebook,1 rating,True,True,True,False,True,Prep:15 mins,,"['1 watermelon, approximately 3.5kg', 'lemonade', '1 apple, cored and cut into 1cm cubes', 'frozen blueberries']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/HwachaeKoreanWatermelonPunch-a6b7c6e.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/hwachae-korean-watermelon-punch
Kimchi jjigae,Easy,Serves 2,Visit us on Instagram,0 reviews,False,False,True,False,False,Prep:20 mins,,"['400g mature kimchi', 'vegetable oil', '¼ small  brown onion, finely sliced ', '200g  pork belly, finely sliced', 'gochugaru ', '1 tsp  caster sugar', '150g firm tofu, drained ', '2 spring onions, finely chopped']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/KimchiJjigaeKoreanKimchiStew-0c3995f.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/kimchi-jjigae
